Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
398.642	1815.60368227627				
399.213	1751.77862068761				
399.785	1705.47502218544				
400.356	1581.68301742742				
400.928	1468.99177046024				
401.499	1333.99722901539				
402.071	1200.87721223367				
402.643	1058.70911612508				
403.215	915.858360142877				
403.787	790.540846771318				
404.358	657.301502347798				
404.93	547.735530736901				
405.502	446.260155803088				
406.074	365.97282083016				
406.646	282.171925233276				
407.219	229.86228768844				
407.791	176.536859193905				
408.363	141.221900584464				
408.935	103.529900759944				
409.508	85.0526351257413				
410.08	74.9096136066294				
410.652	63.4829278186417				
411.225	57.9813724069651				
411.797	51.3819669738744				
412.37	38.1472712629865				
412.943	43.4305423855872				
413.515	37.321572283103				
414.088	28.8305147532472				
414.661	22.9706405762066				
415.234	20.6684853435337				
415.806	17.7415442412633				
416.379	24.7298788065359				
416.952	16.4092907694487				
417.525	13.8004483844361				
418.098	22.2749320432836				
418.671	13.4066918506803				
419.244	13.3676358151171				
419.818	7.82631918627562				
420.391	6.71923863621865				
420.964	13.4346445130523				
421.537	21.0601357342608				
422.111	4.67218905478337				
422.684	11.8057169739818				
423.258	9.76567472221167				
423.831	20.430225147974				
424.405	8.34168339963639				
424.978	4.31624048819007				
425.552	5.52853226183705				
426.126	7.04145901908651				
426.699	6.8815028701099				
427.273	6.1062809778139				
427.847	5.02485001902509				
428.421	8.49588081410498				
428.995	3.17300286861268				
429.569	3.31727175755438				
430.143	9.79066299508602				
430.717	12.978473222804				
431.291	-0.150897635740947				
431.865	9.93889703210472				
432.439	19.7029564631181				
433.014	20.7356579016636				
433.588	27.4824897472456				
434.162	21.1798665644007				
434.737	26.6454864937478				
435.311	18.5134267001464				
435.886	19.2249043405606				
436.46	18.4572734671529				
437.035	11.8465863160688				
437.609	12.122464560627				
438.184	2.84090677570886				
438.759	3.14411563840741				
439.333	2.2453168111736				
439.908	4.93313532299184				
440.483	-3.73265514647572				
441.058	8.64742409729316				
441.633	9.36095540817332				
442.208	-2.07441663814676				
442.783	6.21275090042792				
443.358	9.16936633673687				
443.933	7.69584032418235				
444.508	3.69845880674283				
445.083	-0.59128937153953				
445.659	6.04718685123187				
446.234	5.7391840217802				
446.809	1.61500207014722				
447.385	13.3287333152502				
447.96	7.01363874278036				
448.536	5.53760408848218				
449.111	3.78020308105344				
449.687	9.73549297828374				
450.262	4.35701029573223				
450.838	5.37160012670525				
451.414	2.90055750703452				
451.989	4.77973445778419				
452.565	2.60336555205816				
453.141	5.34517832734321				
453.717	0.866565682772809				
454.293	1.5876175644821				
454.869	4.32510494887356				
455.445	5.18842476288487				
456.021	10.0870635488835				
456.597	5.17965148270268				
457.173	-2.58609502901429				
457.749	8.03590579319528				
