wavelength	S-Sdark	Sdark	I	Idark	Wavelength	R	Rdark	Mcorrect	XCorrect	Sc	Ic	Rc	Sc/Rc
nm	counts	counts			nm	uA	uA			counts*Mcorrect		uA*Xcorrect	counts/uA
	Raw CCD Data	Dark Offset CCD				Linear interp of B	Dark Offset Ref	interpolated	Linear interp of B	Dark Corrected CCD		Dark Corrected Ref	Fully Corrected Emission Spectrum
416.379	155	2844						0.756837356984615		117.309790332615			24.7298788065359
416.952	103	2758						0.755726857185364		77.8398662900925			16.4092907694487
417.525	87	2522						0.752464845776558		65.4644415825606			13.8004483844361
418.098	141	2787						0.749392850875855		105.664391973495			22.2749320432836
418.671	85	2491						0.748195293903351		63.5965999817848			13.4066918506803
419.244	85	2757						0.74601567029953		63.41133197546			13.3676358151171
419.818	50	2545						0.742505751848221		37.125287592411			7.82631918627562
420.391	43	3232						0.741248590350151		31.8736893850565			6.71923863621865
420.964	86	2614						0.741037180423737		63.7291975164413			13.4346445130523
421.537	135	2594						0.740013543248177		99.9018283385038			21.0601357342608
422.111	30	2603						0.738773695170879		22.1632108551264			4.67218905478337
422.684	76	2699						0.736870288610458		56.0021419343948			11.8057169739818
423.258	63	2768						0.735315931677818		46.3249036957026			9.76567472221167
423.831	132	2545						0.734195117533207		96.9137555143833			20.430225147974
424.405	54	2777						0.732777647674084		39.5699929744005			8.34168339963639
424.978	28	2698						0.731239888072014		20.4747168660164			4.31624048819007
425.552	36	2866						0.728483329772949		26.2253998718262			5.52853226183705
426.126	46	3125						0.726134539365768		33.4021888108254			7.04145901908651
426.699	45	2830						0.72540918815136		32.6434134668112			6.8815028701099
427.273	40	3142						0.724150881230831		28.9660352492332			6.1062809778139
427.847	33	3040						0.722306352198124		23.8361096225381			5.02485001902509
428.421	56	2872						0.719668766438961		40.3014509205818			8.49588081410498
428.995	21	2582						0.716742967665195		15.0516023209691			3.17300286861268
429.569	22	3020						0.71527103894949		15.7359628568888			3.31727175755438
430.143	65	2668						0.714514449477196		46.4434392160177			9.79066299508602
430.717	86	2593						0.715875376820564		61.5652824065685			12.978473222804
431.291	-1	2985						0.715804964065552		-0.715804964065552			-0.150897635740947
431.865	66	2977						0.714342560768127		47.1466090106964			9.93889703210472
432.439	131	3021						0.713464506387711		93.4638503367901			19.7029564631181
433.014	138	3169						0.712772611379623		98.362620370388			20.7356579016636
433.588	183	3083						0.71238908290863		130.367202172279			27.4824897472456
434.162	141	3047						0.712551695108414		100.469789010286			21.1798665644007
434.737	177	5730						0.714105960726738		126.396755048633			26.6454864937478
435.311	123	2970						0.713993026435375		87.8211422515512			18.5134267001464
435.886	128	2894						0.712469846129417		91.1961403045654			19.2249043405606
436.46	123	3006						0.711827408075333		87.5547711932659			18.4572734671529
437.035	79	3098						0.71134191930294		56.1960116249323			11.8465863160688
437.609	81	3285						0.70993432533741		57.5046803523302			12.122464560627
438.184	19	2812						0.709276632785797		13.4762560229301			2.84090677570886
438.759	21	3204						0.710217691779137		14.9145715273619			3.14411563840741
439.333	15	3012						0.71006587189436		10.6509880784154			2.2453168111736
439.908	33	3097						0.709122653722763		23.4010475728512			4.93313532299184
440.483	-25	3066						0.708255784094334		-17.7063946023583			-3.73265514647572
441.058	58	2997						0.707246872544289		41.0203186075687			8.64742409729316
441.633	63	3156						0.704842199146748		44.4050585462451			9.36095540817332
442.208	-14	2997						0.702878439903259		-9.84029815864563			-2.07441663814676
442.783	42	3194						0.701692639768124		29.4710908702612			6.21275090042792
443.358	62	3017						0.70155206155777		43.4962278165817			9.16936633673687
443.933	52	2886						0.702045039653778		36.5063420619965			7.69584032418235
444.508	25	3209						0.701767170906067		17.5441792726517			3.69845880674283
445.083	-4	3235						0.701216863453388		-2.80486745381355			-0.59128937153953
445.659	41	3196						0.699651552021503		28.6857136328816			6.04718685123187
446.234	39	3051						0.69806813454628		27.2246572473049			5.7391840217802
446.809	11	3165						0.696454371571541		7.66099808728695			1.61500207014722
447.385	91	2814						0.694799915254116		63.2267922881246			13.3287333152502
447.96	48	3067						0.693129568099976		33.2702192687988			7.01363874278036
448.536	38	3405						0.691274563312531		26.2684334058762			5.53760408848218
449.111	26	3111						0.689690198898315		17.9319451713562			3.78020308105344
449.687	67	3054						0.689279584884644		46.1817321872711			9.73549297828374
450.262	30	3124						0.688937146663666		20.66811439991			4.35701029573223
450.838	37	3210						0.688674848079681		25.4809693789482			5.37160012670525
451.414	20	3495						0.687960898756981		13.7592179751396			2.90055750703452
451.989	33	3210						0.687071762859821		22.6733681743741			4.77973445778419
452.565	18	3369						0.686080252826214		12.3494445508719			2.60336555205816
453.141	37	3412						0.685287397742271		25.355633716464			5.34517832734321
453.717	6	3277						0.685113470435142		4.11068082261085			0.866565682772809
454.293	11	3411						0.684645062446594		7.53109568691254			1.5876175644821
454.869	30	3389						0.683892224311829		20.5167667293549			4.32510494887356
455.445	36	3051						0.683668063879013		24.6120502996445			5.18842476288487
456.021	70	3468						0.68356369304657		47.8494585132599			10.0870635488835
456.597	36	3235						0.682512026786804		24.570432964325			5.17965148270268
457.173	-18	3070						0.681528850197792		-12.2675193035603			-2.58609502901429
457.749	56	3046						0.680705218911171		38.1194922590256			8.03590579319528
458.325	80	3082						0.680444446206093		54.4355556964874			11.4754675745618
458.902	13	3200						0.680618675470352		8.84804278111458			1.86524095756715
459.478	48	3286						0.678935615062714		32.5889095230103			6.87001298575453
460.054	71	3121						0.677083449959755		48.0729249471426			10.1341721304569
460.631	100	3168						0.677277248203754		67.7277248203754			14.2775673019393
461.207	33	3168						0.676951718151569		22.3394066990018			4.70933260310018
461.784	-10	3076						0.67569885635376		-6.7569885635376			-1.42442934898824
462.36	52	3168						0.675008275508881		35.1004303264618			7.39946244528682
462.937	31	3402						0.674653144955635		20.9142474936247			4.40889719758913
463.514	68	3100						0.673308752536774		45.7849951725006			9.6518575181442
464.09	-15	3157						0.671994864940643		-10.0799229741097			-2.12493154085575
464.667	75	3141						0.671485865116119		50.361439883709			10.6166100997668
465.244	59	2989						0.670956446170807		39.5864303240776			8.34514852956513
465.82	73	3077						0.670400125980377		48.9392091965675			10.3167920502398
466.397	32	2920						0.669309687912464		21.4179100131989			4.51507344283812
466.974	9	3215						0.667977518439293		6.01179766595364			1.26733691422441
467.551	22	2986						0.666641079485416		14.6661037486792			3.09173656555484
468.128	30	2982						0.665548030376434		19.966440911293			4.20909169246769
468.705	-6	3311						0.665309453904629		-3.99185672342777			-0.841516575074622
469.282	4	2624						0.664713242769241		2.65885297107697			0.560508304999077
469.859	46	2762						0.663742910265923		30.5321738722324			6.436436016291
470.436	36	2972						0.663591785669327		23.8893042840958			5.03606389580167
471.014	36	3120						0.663678258299828		23.8924172987938			5.03672014517341
471.591	-32	3103						0.662657541692257		-21.2050413341522			-4.47019895606592
472.168	12	2933						0.662041283607483		7.9444954032898			1.67476566061013
472.745	-4	3241						0.662409689426422		-2.64963875770569			-0.558565872237726
473.323	45	2924						0.662320432722569		29.8044194725156			6.28301934019864
473.9	-40	3104						0.661870139837265		-26.4748055934906			-5.58110906086576
474.478	67	2831						0.661255841493607		44.3041413800716			9.33968123078461
475.055	27	2895						0.66073067843914		17.8397283178568			3.76076300188789
475.633	-33	2663						0.661366032719612		-21.8250790797472			-4.60090806619702
476.21	67	2744						0.661437386870384		44.3163049203157			9.34224540616368
476.788	-15	2756						0.660523423433304		-9.90785135149956			-2.08865741265957
477.365	22	3146						0.660057076513767		14.5212556833029			3.06120138948845
