Wavelength	I	Idark	R	Rdark	XCorrect	Ic	Rc	Ic/Rc
nm	uA	uA	uA	uA				
	Abs Detector Raw	Dark Offset for Abs Detector	Ref Detector Raw	Dark Offset for Ref Detector	Linear interp 	Dark subtracted Abs Detecto	Corrected Ref Detector	Corrected Intensity
580	1.01136874138113		1.56824387648507		0.987307488918304	1.00851422297423	1.54833883299786	0.651352405223581
579	1.02005544026		1.58164320046718		0.987125396728516	1.01720092185309	1.56128008105472	0.65151726086579
578	1.026599200915		1.59189067357076		0.986987471580505	1.0237446825081	1.57117606026347	0.65157859033088
577	1.03695043225792		1.60815876585195		0.986913800239563	1.03409591385101	1.58711398832555	0.651557431575542
576	1.04695291024529		1.62325691642638		0.986873984336853	1.04409839183839	1.60194993004976	0.651767182140303
575	1.05429348486196		1.63544343065991		0.986889600753784	1.05143896645505	1.61400202367163	0.651448356962512
574	1.06488724702666		1.65114505870997		0.986933946609497	1.06203272861975	1.62957101854559	0.65172534153659
573	1.07140221129506		1.66196068061499		0.987006604671478	1.06854769288815	1.64036607779282	0.651408065159412
572	1.08384799524191		1.68101429992362		0.987107157707214	1.080993476835	1.65934115697507	0.651459449608075
571	1.09393793660784		1.69666865624535		0.987225294113159	1.09108341820094	1.67499412247582	0.651395371219691
570	1.09873864764823		1.70454619069874		0.987323939800262	1.09588412924133	1.68293916986457	0.651172751139612
569	1.11479406750595		1.72891245799639		0.987429916858673	1.11193954909905	1.70717979393793	0.6513312499641
568	1.11972877970547		1.73706786720453		0.987501919269562	1.11687426129857	1.71535776204197	0.651102811327846
567	1.13571689304491		1.76164102842226		0.987572610378265	1.132862374638	1.73974833825794	0.651164510248862
566	1.13995251467105		1.7679871725009		0.987618684768677	1.13709799626414	1.74609707525852	0.651222668187444
565	1.14894197844128		1.78262741749855		0.987648010253906	1.14608746003438	1.7606083311791	0.650961056890393
564	1.16231962426185		1.80266378674222		0.987658262252808	1.15946510585494	1.78041569230154	0.651232805276001
563	1.16847071676657		1.81242394753086		0.987679004669189	1.16561619835966	1.79009298979563	0.651148406816978
562	1.18553582442543		1.83877155789921		0.987717986106873	1.18268130601852	1.81618764933497	0.651188937691315
561	1.1919398206767		1.84861416802834		0.987771451473236	1.18908530226979	1.82600820921859	0.651193842539535
560	1.20804081090777		1.87394842238268		0.987843811511993	1.20518629250086	1.85116826138799	0.651040922448198
559	1.21748439454923		1.88798549813225		0.987969517707825	1.21462987614233	1.86527203126214	0.651181090899887
558	1.22915462460514		1.90617770692186		0.988138794898987	1.22630010619824	1.88356805139858	0.651051659794126
557	1.2428031780174		1.92757757713665		0.988361120223999	1.2399486596105	1.90514264265451	0.650842950994381
556	1.25498485979246		1.94579246048672		0.988634049892426	1.25213034138555	1.92367658963313	0.650904808081253
555	1.26480540571269		1.96098799112668		0.988924205303192	1.26195088730578	1.9392683998794	0.650735549233031
554	1.28029894813125		1.98451114624509		0.98927766084671	1.27744442972434	1.96323245379444	0.650684246409722
553	1.28934119357852		1.99888454248893		0.989654302597046	1.28648667517161	1.97820459694716	0.650330444665311
552	1.30501737149439		2.02281806137523		0.990039765834808	1.30216285308749	2.0026702288532	0.650213317363363
551	1.31295942621119		2.03443345286934		0.990430295467377	1.31010490780429	2.01496443484107	0.6501876088486
550	1.32471147084197		2.0531889718984		0.990816295146942	1.32185695243506	2.03433299934445	0.649774128847649
549	1.34067085493347		2.07711825189312		0.991156876087189	1.33781633652657	2.05874994675029	0.649819730967471
548	1.35269125283466		2.09597325822647		0.991467356681824	1.34983673442775	2.07808897492128	0.649556756576741
547	1.36577455966715		2.11577123178017		0.991732120513916	1.36292004126024	2.09827819910306	0.649542106400781
546	1.37685297759163		2.13238918825674		0.99197244644165	1.37399845918472	2.11527122870605	0.649561361464373
545	1.38921643732006		2.1519867956003		0.992176711559296	1.38636191891315	2.13515109102426	0.64930389457736
544	1.40795990800932		2.17982046248127		0.99236261844635	1.40510538960242	2.1631722507203	0.649557791403131
543	1.41359424941747		2.18895254252291		0.992519378662109	1.41073973101057	2.17257772624073	0.649339130182288
542	1.43116092110021		2.21486776458732		0.992692410945892	1.4283064026933	2.19868232995368	0.649619266610195
541	1.43919800450315		2.22758597742713		0.992887318134308	1.43634348609625	2.21174177582246	0.649417351427533
