Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	401.214	5.42547306370833
450	403.501	5.55173359307567
450	405.788	0.475440894430863
450	408.077	0.629573750776152
450	410.366	6.34761990589078
450	412.656	14.7545269309585
450	414.947	18.5430674520504
450	417.239	11.9069266654374
450	419.531	36.128387460206
450	421.824	41.5104063773855
450	424.118	38.5403257186431
450	426.413	28.2753365807695
450	428.708	25.3995951177991
450	431.004	21.0465385180874
450	433.301	30.6101702566394
450	435.598	32.3498889201574
450	437.897	32.0291810177468
450	440.196	45.5945795656469
450	442.495	192.942571476698
450	444.796	992.030930402376
450	447.097	2704.03268585115
450	449.399	4235.85150486807
450	451.702	3933.79703961106
450	454.005	2129.19185706235
450	456.309	649.381554277341
450	458.614	152.124461775489
450	460.919	123.542708367884
450	463.225	135.993103998794
450	465.532	147.236247806045
450	467.84	167.887527948973
450	470.148	187.949205442252
450	472.457	194.853086492825
450	474.766	215.597249398354
450	477.077	229.58625089126
450	479.388	248.891248505287
450	481.699	263.064368180608
450	484.012	279.640550507938
450	486.324	290.16324576577
450	488.638	303.999197707983
450	490.952	315.113351305353
450	493.267	327.043694417312
450	495.583	341.613590503958
450	497.899	356.272832651683
450	500.216	364.623923718451
450	502.534	372.572480587878
450	504.852	378.211469139701
450	507.171	390.100793570243
450	509.491	398.863646463879
450	511.811	396.321391137353
450	514.132	393.090023488609
450	516.453	389.980191535235
450	518.775	390.43735044078
450	521.098	398.327384877866
450	523.421	395.422492987104
450	525.745	388.195192789137
450	528.07	383.653534812397
450	530.395	393.013133870723
450	532.72	369.510414302146
450	535.047	372.2225179473
450	537.374	366.151171388619
450	539.701	364.041509936955
450	542.03	365.307179284058
450	544.358	362.950406007339
450	546.688	354.593989832215
450	549.018	351.466673934098
450	551.348	335.615184375662
450	553.679	334.604567276083
450	556.011	322.565048377081
450	558.343	313.734788088866
450	560.676	306.789534083405
450	563.01	299.385967278538
450	565.344	297.296294662651
450	567.678	285.423323026725
450	570.013	277.937205187165
450	572.349	273.538669937098
450	574.685	262.494019306557
450	577.022	252.349746555493
450	579.359	244.353635149262
450	581.697	244.444628375418
450	584.035	222.160403286022
450	586.374	218.435862643889
450	588.714	221.864738764427
450	591.054	207.174545531887
450	593.394	196.963180491934
450	595.735	194.174884969297
450	598.077	185.045113020414
450	600.419	183.546532737754
450	602.761	172.511281839296
450	605.104	165.842068014424
450	607.448	159.038248886811
450	609.792	155.284360477325
450	612.137	148.877952422443
450	614.482	151.951706582457
450	616.827	148.610728049492
450	619.174	130.639497800428
450	621.52	134.24658373138
450	623.867	121.506189509852
450	626.215	125.268284406718
450	628.563	115.431414252944
450	630.911	106.74911376937
450	633.26	108.151547834092
450	635.609	92.3377550550297
450	637.959	93.1735112236572
450	640.31	93.6492873668453
450	642.66	89.1131757777261
450	645.012	84.2042805600703
450	647.363	79.6722933428561
450	649.716	81.1225891303012
450	652.068	74.7485760016608
450	654.421	77.5957941397208
450	656.775	61.4893193318706
450	659.128	64.2294370700212
450	661.483	61.9486728994643
450	663.838	57.8857364308671
450	666.193	61.9417655240311
450	668.548	55.9271843315487
450	670.904	56.7592267509777
450	673.261	47.2469930626796
450	675.617	47.4586035643044
450	677.975	42.2460267819207
450	680.332	34.2270989473197
450	682.69	50.7495594691411
450	685.049	45.3865205865567
450	687.407	37.3193639198951
450	689.767	34.9901579235877
450	692.126	31.1233163596043
450	694.486	35.5078364490723
450	696.846	36.2225749870582
450	699.207	35.6598953666203
450	701.568	27.5860753491932
450	703.93	23.208342041378
450	706.291	27.9199264023335
450	708.653	27.2596949911195
450	711.016	20.5457579740225
450	713.379	23.9761154428039
450	715.742	25.5114448735296
450	718.105	17.0402201066346
450	720.469	20.9486771194685
450	722.833	10.2892772827689
450	725.198	19.2044967412644
450	727.563	26.3321354840136
450	729.928	22.6731651086152
450	732.293	18.6463075920695
450	734.659	21.3428523250262
450	737.025	11.0514744404456
450	739.392	22.8984846531215
450	741.759	10.4774052921448
450	744.126	21.3602523051708
450	746.493	0.733412423002541
450	748.861	13.4188589685886
450	751.229	11.3658896979628
450	753.597	9.94653054186217
450	755.965	19.930198189538
450	758.334	-1.53000007475128
450	760.703	11.8674938579178
450	763.072	-6.50582765134087
450	765.442	14.9574133142472
450	767.812	5.58268692524377
450	770.182	0.00310926407497281
450	772.552	-0.794074420837743
450	774.923	12.8150909901288
450	777.294	7.46051727784566
450	779.665	1.40354752410214
450	782.036	-6.93580595992816
450	784.408	9.59699171499624
450	786.78	-0.27876608136047
450	789.152	8.51156307481887
450	791.524	8.92389503481937
450	793.897	-10.2203395476965
450	796.27	-8.98409626799237
450	798.643	13.9201417996126
450	801.016	4.19561082069929
450	803.389	9.18489992099651
450	805.763	4.99206900886963
450	808.136	-5.98905949745448
450	810.51	0.39783990688503
450	812.885	8.19068934098407
450	815.259	4.9928473832699
450	817.634	1.59925456788577
450	820.008	4.5940067092988
450	822.383	2.7948870190559
450	824.758	6.19426204427065
448	247.649	-1.53142981480133
448	249.877	1.09501954940091
448	252.107	-7.47807533496696
448	254.337	1.44007481169838
448	256.568	-5.39925298935212
448	258.801	2.23847232465622
448	261.034	5.8330877977539
448	263.268	-0.264535325376992
448	265.503	6.61736247937902
448	267.739	8.90733153107699
448	269.976	8.71039700892598
448	272.214	7.05226271076952
