Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
800	486.324	25.1297226034604
800	488.638	19.385939805949
800	490.952	-71.9628675882379
800	493.267	-21.3650777514711
800	495.583	9.72117949204732
800	497.899	9.71452616959708
800	500.216	54.2588564699507
800	502.534	-58.2783459183913
800	504.852	21.4018675842004
800	507.171	32.9775583812585
800	509.491	11.6197398893089
800	511.811	-5.80953155996276
800	514.132	-23.1959911697259
800	516.453	9.66986659902622
800	518.775	-5.78316892197137
800	521.098	0
800	523.421	36.5743654079215
800	525.745	0
800	528.07	-26.8993657716812
800	530.395	50.1258877318138
800	532.72	40.6591577540179
800	535.047	-1.94618290986195
800	537.374	-9.768227651233
800	539.701	7.87324504788409
800	542.03	63.3464016436047
800	544.358	43.8068343902455
800	546.688	20.1030043167521
800	549.018	18.1015119805418
800	551.348	-58.3479190095743
800	553.679	26.2604727193128
800	556.011	40.6257190163172
800	558.343	-22.4885445470289
800	560.676	34.9203510191027
800	563.01	31.0356001127569
800	565.344	-12.5051709431914
800	567.678	-27.3094602824402
800	570.013	4.22096243234529
800	572.349	-4.25368145196875
800	574.685	-21.4364853916231
800	577.022	-19.4381356259453
800	579.359	-30.4381872252937
800	581.697	37.2008780386056
800	584.035	10.9800453130701
800	586.374	88.3398789309361
800	588.714	64.3843215708608
800	591.054	-8.94164076298374
800	593.394	-2.24282526239384
800	595.735	13.5518418836323
800	598.077	-18.1135822027777
800	600.419	47.9266059152771
800	602.761	0
800	605.104	13.8848440825522
800	607.448	27.9379757568698
800	609.792	7.0309014269632
800	612.137	25.978272495018
800	614.482	9.50748671049578
800	616.827	-38.3433133171779
800	619.174	19.2546673281244
800	621.52	-12.1369499772866
800	623.867	4.89029807049254
800	626.215	2.45986576039077
800	628.563	-37.2007842520008
800	630.911	-9.98107848037235
800	633.26	-12.5204216478284
800	635.609	40.1946588731451
800	637.959	-5.05083434930002
800	640.31	5.07688781117652
800	642.66	7.67331553746766
800	645.012	-15.5066071577453
800	647.363	-33.8522592769988
800	649.716	49.9312538326009
800	652.068	13.2853804108769
800	654.421	34.8404282022887
800	656.775	-40.4631635722656
800	659.128	-37.9688587557377
