Long Name	Wavelength	S1c/R1c
nm	nm	
		Z of S1c/R1c
800	484.012	42.2741472968208
800	486.324	15.3907147309537
800	488.638	-57.8805399489611
800	490.952	0
800	493.267	-7.73207829495127
800	495.583	7.73986540173204
800	497.899	-63.8101869953448
800	500.216	21.2143509740474
800	502.534	-15.4667978171763
800	504.852	-15.4907852659533
800	507.171	-21.2366847844395
800	509.491	-19.2739006147955
800	511.811	13.4909446304877
800	514.132	0
800	516.453	-21.1722797088138
800	518.775	3.83706430961354
800	521.098	-55.4861745238657
800	523.421	-17.2421003053445
800	525.745	-1.91260781737424
800	528.07	26.7711174651044
800	530.395	23.0247240754438
800	532.72	-25.049951819102
800	535.047	-48.4226019776122
800	537.374	50.5526091173568
800	539.701	13.7124885079306
800	542.03	-41.3728773495113
800	544.358	-3.96345238359851
800	546.688	50.0178976832838
800	549.018	-22.0185891041413
800	551.348	-4.00480918630682
800	553.679	-2.01040542060779
800	556.011	24.2592164838728
800	558.343	-14.2426618381494
800	560.676	-63.3746877084524
800	563.01	-16.4734034404796
800	565.344	45.6336831372699
800	567.678	31.360680882934
800	570.013	-35.7071240056561
800	572.349	21.1670057161118
800	574.685	8.53371300021204
800	577.022	32.2424338031948
800	579.359	-23.8016953847436
800	581.697	-23.9563921463399
800	584.035	-8.74215653538799
800	586.374	15.3857725406119
800	588.714	55.2390999666169
800	591.054	-2.2247524089268
800	593.394	31.2498497875532
800	595.735	51.7010508868282
800	598.077	-4.50680548549304
800	600.419	-47.6981058792251
800	602.761	-6.8594924769078
800	605.104	-25.334182881305
800	607.448	78.7801977082337
800	609.792	34.9869007292655
800	612.137	-23.5040142651982
800	614.482	-52.0418678740401
800	616.827	-14.3101888562388
800	619.174	16.767508368858
800	621.52	-33.8214367413036
800	623.867	-29.2018953597091
800	626.215	58.7553081619238
800	628.563	56.7692467535521
800	630.911	-54.6342038998103
800	633.26	-29.9057470566409
800	635.609	-60.0045337479076
800	637.959	-7.54013017311993
800	640.31	-22.7370721290248
800	642.66	0
800	645.012	10.2884507941885
800	647.363	-31.0992568691641
800	649.716	-44.4623334615567
800	652.068	26.4440792074447
800	654.421	-8.00176597689334
