Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	401.214	3.82836647822013
450	403.501	6.34230050179008
450	405.788	1.73647494450255
450	408.077	15.5310484006336
450	410.366	20.7369814963075
450	412.656	38.5614365110578
450	414.947	50.2954592696021
450	417.239	83.8839626574957
450	419.531	122.904552995154
450	421.824	162.42430973369
450	424.118	178.993953522814
450	426.413	181.008243931333
450	428.708	190.738269532393
450	431.004	191.582016244439
450	433.301	197.353734417178
450	435.598	205.36715050209
450	437.897	214.127142303397
450	440.196	266.178656078287
450	442.495	1400.50711356013
450	444.796	6778.03831784384
450	447.097	7894.71111064794
450	449.399	7391.41205491628
450	451.702	7636.26802810002
450	454.005	8272.50635708033
450	456.309	1859.5316580026
450	458.614	255.878682371698
450	460.919	221.283674270173
450	463.225	233.25074871123
450	465.532	256.594592650645
450	467.84	286.710082859396
450	470.148	308.715180958272
450	472.457	338.917927485496
450	474.766	369.139323332132
450	477.077	392.96277823832
450	479.388	401.107909068214
450	481.699	430.154237561276
450	484.012	458.414833254554
450	486.324	479.990699711318
450	488.638	510.14927094223
450	490.952	526.326118987946
450	493.267	550.059037607768
450	495.583	563.516391131225
450	497.899	582.273751300039
450	500.216	587.908696105453
450	502.534	607.839602157083
450	504.852	609.048642209813
450	507.171	619.454208753782
450	509.491	633.395576199763
450	511.811	636.670958390022
450	514.132	639.484695777887
450	516.453	642.981433443624
450	518.775	646.971526985585
450	521.098	633.766651165321
450	523.421	632.607931442935
450	525.745	626.295504401817
450	528.07	626.298874457616
450	530.395	618.138963968128
450	532.72	608.059917503141
450	535.047	608.41583481318
450	537.374	608.344996707235
450	539.701	597.291236786984
450	542.03	596.648441641375
450	544.358	575.49805862585
450	546.688	581.426688091229
450	549.018	560.103107058639
450	551.348	553.283064873656
450	553.679	536.695915746073
450	556.011	525.92467278852
450	558.343	508.760488497573
450	560.676	493.33039012237
450	563.01	485.443008468443
450	565.344	473.16928946352
450	567.678	465.999033110795
450	570.013	455.455100522781
450	572.349	438.757916921193
450	574.685	421.68994366726
450	577.022	413.043203767148
450	579.359	405.67473832903
450	581.697	394.386933613268
450	584.035	372.037211300517
450	586.374	372.491681589459
450	588.714	339.97247093956
450	591.054	347.204192207524
450	593.394	333.317166494652
450	595.735	316.657473830705
450	598.077	305.662487908636
