Long Name	Sample - Blank	S1c/R1c
nm	nm	
		Z of Sample - Blank
450	403.501	21.8771368288513
450	405.788	24.1618009956147
450	408.077	24.4677299461273
450	410.366	56.7824807598209
450	412.656	90.7767532685664
450	414.947	138.854689382577
450	417.239	196.789910639783
450	419.531	316.780445380927
450	421.824	399.924212557375
450	424.118	448.853888929313
450	426.413	453.65825270016
450	428.708	440.183013732796
450	431.004	439.588815113662
450	433.301	451.103641056749
450	435.598	445.963092617097
450	437.897	449.547366852204
450	440.196	565.214863716541
450	442.495	3416.20994271653
450	444.796	8577.55356484868
450	447.097	7780.67120531803
450	449.399	7281.4316727851
450	451.702	7579.62065607875
450	454.005	8246.86287448032
450	456.309	4487.10077092256
450	458.614	394.403948437756
450	460.919	211.500308825097
450	463.225	230.510538549726
450	465.532	251.586330003026
450	467.84	266.041134603665
450	470.148	292.22366270562
450	472.457	304.471134017471
450	474.766	329.606493255253
450	477.077	350.308470588313
450	479.388	368.25072802573
450	481.699	388.175280655316
450	484.012	411.4278717058
450	486.324	432.678708735761
450	488.638	437.101127116365
450	490.952	467.803473120699
450	493.267	486.030353111851
450	495.583	489.312840245743
450	497.899	513.965181160073
450	500.216	527.598554909233
450	502.534	545.116794028
450	504.852	542.767879244804
450	507.171	554.296353785938
450	509.491	559.334129282088
450	511.811	561.68608621126
450	514.132	571.114012209741
450	516.453	567.168170835543
450	518.775	567.840659194515
450	521.098	562.877451688122
450	523.421	558.073963552562
450	525.745	556.226854990174
450	528.07	551.251388035453
450	530.395	543.234886652926
450	532.72	543.700084517604
450	535.047	535.733510076505
450	537.374	531.23946534327
450	539.701	532.13073403023
450	542.03	524.748756355634
450	544.358	523.749320929595
450	546.688	511.578005431263
450	549.018	490.775983777234
450	551.348	488.198525835736
450	553.679	474.119519860679
450	556.011	465.78230467597
450	558.343	461.659839429847
450	560.676	443.059043677548
450	563.01	428.863851956815
450	565.344	424.02099475991
450	567.678	409.995818681715
450	570.013	398.183833887852
450	572.349	395.887188124443
450	574.685	383.61827711225
450	577.022	370.255140738957
450	579.359	359.183074823718
450	581.697	341.308475922459
450	584.035	338.456792990543
450	586.374	322.554108327181
450	588.714	324.559751393032
450	591.054	305.840564845448
450	593.394	286.44917111425
450	595.735	280.280129352263
450	598.077	274.774149554115
450	600.419	277.585767378584
450	602.761	247.533854416705
450	605.104	240.308669578584
450	607.448	243.19836851926
450	609.792	217.398858566697
450	612.137	220.848326583121
450	614.482	215.116440777866
450	616.827	211.315138385779
450	619.174	195.27142410868
450	621.52	186.809999590867
450	623.867	181.485955244424
450	626.215	177.53002281676
450	628.563	164.396515876426
450	630.911	161.137719686361
450	633.26	151.600353545584
450	635.609	149.683683790756
450	637.959	140.453103114596
450	640.31	138.052037031746
450	642.66	123.53053546953
450	645.012	134.365253034233
450	647.363	134.314721572705
450	649.716	126.920482674554
450	652.068	128.508347415498
450	654.421	104.868264908471
450	656.775	101.124530623794
450	659.128	105.935988946406
450	661.483	95.8694155738623
450	663.838	93.3952284521866
450	666.193	91.5315154598932
450	668.548	82.1158689289275
450	670.904	84.8014016958887
450	673.261	74.1188879686909
450	675.617	70.3637756041694
450	677.975	65.4782310368632
450	680.332	67.6235025244662
450	682.69	73.5081282002095
450	685.049	65.6510459929781
450	687.407	57.9520268023596
450	689.767	60.8395283161727
450	692.126	52.2457581338029
450	694.486	53.7436763658334
450	696.846	51.0103061926436
450	699.207	53.0473777919826
450	701.568	49.2920579604229
450	703.93	40.4839946578048
450	706.291	40.8952079387194
450	708.653	39.9012837129872
450	711.016	29.1772372567918
450	713.379	43.132919435875
450	715.742	39.5675031998424
450	718.105	36.7093358628112
450	720.469	47.4455698650603
450	722.833	22.7949968416398
